Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Category,Status,Family,MPN,Digi-Key_PN,DK_Datasheet_Link,DK_Detail_Page,Manufacturer,Manufacturer_Name,Height,RS Price/Stock,RS Part Number,Manufacturer_Part_Number,Note
1,Unpolarized capacitor,C,C1 C2,.1u,C_Rect_L7.0mm_W2.5mm_P5.00mm,2,,,,,,,,,,,,,,,
2,Unpolarized capacitor,C,C4,.39u,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,,,,,,,,,,,,,,,
3,Polarised capacitor,CP1,C6 C9 C12 C16 C17 C20 C22,1u,CP_Radial_D5.0mm_P2.00mm,7,,,,,,493-10855-1-ND,,,,,,,,,
4,Unpolarized capacitor,C,C13,2.2n,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,,,,,,,,,,,,,,,
5,Unpolarized capacitor,C,C14,27n,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,,,,,,,,,,,,,,,
6,Unpolarized capacitor,C,C15,3.9n,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,,,,,,,,,,,,,,,
7,Unpolarized capacitor,C,C8,390p,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,,,,,,,,,,,,,,,
8,Polarised capacitor,CP1,C10,4.7n,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,,,,,,,,,,,,,,,
9,Polarised capacitor,CP1,C19,4.7u,CP_Radial_D5.0mm_P2.00mm,1,,,,,,,,,,,,,,,
10,Polarised capacitor,CP1,C18 C21,47u,CP_Radial_D5.0mm_P2.00mm,2,,,,,,,,,,,,,,,
11,Unpolarized capacitor,C,C3 C5,68n,C_Rect_L7.0mm_W2.5mm_P5.00mm,2,,,,,,,,,,,,,,,
12,Unpolarized capacitor,C,C11,820p,C_Rect_L7.0mm_W2.5mm_P5.00mm,1,,,,,,,,,,,,,,,
13,Unpolarized capacitor,C,C7,82n,C_Rect_L7.0mm_W2.0mm_P5.00mm,1,,,,,,,,,,,,,,,
14,DIODE GEN PURP 50V 1A DO41,1N4001-G,D4 D5,1N4001-G,DO-41,2,http://www.comchiptech.com/cms/UserFiles/QW-BG013 1N4001 Thru456224. 1N4007 REV.A.pdf,Discrete Semiconductor Products,Active,Diodes - Rectifiers - Single,1N4001-G,641-1310-1-ND,http://www.comchiptech.com/cms/UserFiles/QW-BG013 1N4001 Thru456224. 1N4007 REV.A.pdf,/product-detail/en/comchip-technology/1N4001-G/641-1310-1-ND/1979675,Comchip Technology,,,,,,
15,Diode,D,D2 D3,D,D_A-405_P7.62mm_Horizontal,2,,,,,,,,,,,,,,,
16,LED generic,LED,D1,LED,LED_D1.8mm_W3.3mm_H2.4mm,1,,,,,,,,,,,,,,,
17,Charge Pump Switched Cap 20mA 5V,MAX1044ESA+,IC1,MAX1044ESA+,DIP-8_W7.62mm_Socket,1,http://datasheets.maximintegrated.com/en/ds/ICL7660-MAX1044.pdf,,,,,,,,,Maxim Integrated,1.75,http://uk.rs-online.com/web/p/products/7328481P,7328481P,MAX1044ESA+,
18,"Generic connector, single row, 01x02",Conn_01x02,J3,Conn_01x02,Socket_Strip_Straight_1x02_Pitch2.54mm,1,,,,,,,,,,,,,,,
19,"Generic connector, single row, 01x03",Conn_01x03,J1 J2,Conn_01x03,Socket_Strip_Straight_1x03_Pitch2.54mm,2,,,,,,,,,,,,,,,
20,Resistor,R,R3 R7,1.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,,,,,,,,,,,,,,
21,Resistor,R,R21,1.8k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
22,Resistor,R,R14 R23 R25 R29,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,,,,,,,,,,,,,,,
23,Resistor,R,R1 R6,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,,,,,,,,,,,,,,
24,Resistor,R,R9 R16,15k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,,,,,,,,,,,,,,
25,Resistor,R,R5,1M,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
26,Resistor,R,R4 R15,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,,,,,,,,,,,,,,
27,Resistor,R,R18,22k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
28,Resistor,R,R27 R30,27k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,,,,,,,,,,,,,,
29,Resistor,R,R8 R20 R22,2k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,,,,,,,,,,,,,,,
30,Resistor,R,R10,3.9k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
31,Resistor,R,R17,392k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
32,Resistor,R,R24,4.7k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
33,Resistor,R,R11,422k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
34,Resistor,R,R19,47k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
35,Resistor,R,R2,5.1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,,,,,,,,,,,,,,,
36,Resistor,R,R13 R26,560,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,,,,,,,,,,,,,,,
